open,high,low,close,volume,ma7,ma21,price_diff,volatility
27619.46,28270.0,27436.21,27686.11,975.32409,27835.63857142857,27822.2880952381,69.58000000000175,0.009701272668506114
27686.43,28094.83,27630.78,27888.79,784.88976,27767.685714285715,27913.361428571432,202.6800000000003,0.0104437420109787
27889.96,28145.24,27220.94,27368.29,971.54715,27654.660000000003,27914.258571428567,-520.5,0.01209492305133049
27362.8,28397.36,27240.31,28098.85,1540.3523,27735.388571428568,27950.29857142857,730.5599999999977,0.013820326699789241
28099.0,28216.48,26727.01,27086.27,1172.60452,27638.448571428573,27893.611904761903,-1012.5799999999981,0.01982293243677055
27086.26,27184.39,27023.05,27135.09,294.25322,27554.27571428571,27847.120476190477,48.81999999999971,0.019913174669432345
27135.04,27255.22,26913.69,27061.05,461.31876,27474.921428571426,27802.197619047616,-74.04000000000087,0.01990834789648363
27058.67,27139.99,26500.0,26926.6,1052.68358,27366.420000000002,27760.341904761903,-134.45000000000073,0.019780189651464452
26927.62,26999.0,26411.12,26679.17,1075.52596,27193.617142857143,27693.435714285715,-247.4300000000003,0.0192096518164895
26678.62,26963.36,26657.38,26784.78,851.73495,27110.25857142857,27652.096666666668,105.61000000000058,0.01864944312184765
26779.32,27225.2,26672.01,26849.35,843.38915,26931.75857142857,27592.670476190473,64.56999999999971,0.013867390496549432
26849.35,27100.0,26784.9,26972.57,570.57836,26915.515714285713,27547.00142857143,123.22000000000116,0.005162840945960354
26973.57,27059.98,26731.0,26877.08,265.15719,26878.65714285714,27489.37523809524,-95.48999999999796,0.005145221974810634
26882.2,27400.0,26823.96,27139.48,449.27201,26889.86142857143,27444.40380952381,262.3999999999978,0.006560101164080476
27139.66,27148.38,26165.26,26482.87,1065.92592,26826.471428571425,27342.84333333333,-656.6100000000006,0.011421298693215025
26482.48,26699.99,26336.3,26543.64,657.6222,26807.110000000004,27256.13761904762,60.77000000000044,0.011089204897657972
26544.61,26872.99,26436.47,26593.06,866.9838,26779.721428571425,27181.546666666665,49.42000000000189,0.01097090881831855
26592.36,26898.95,26503.18,26715.06,470.75714,26760.537142857145,27142.56142857143,122.0,0.011112769392490611
26712.72,26885.45,26600.01,26715.62,477.92058,26723.829999999998,27092.598095238092,0.5599999999976717,0.010884743212849816
26715.17,26800.0,26670.0,26777.0,177.39641,26709.532857142854,27047.48857142857,61.38000000000102,0.010909457652805469
26777.01,26870.21,26504.74,26682.94,316.99922,26644.312857142857,27003.0319047619,-94.06000000000131,0.009942900755873129
